Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
220,0.11,0.00,0.99
221,0.10,-0.01,0.99
222,0.10,-0.00,0.98
223,0.10,0.01,0.99
224,0.10,-0.00,0.99
225,0.10,-0.00,0.98
226,0.11,0.00,0.99
227,0.10,-0.01,0.99
228,0.10,0.01,0.99
229,0.10,-0.00,0.99
230,0.10,0.00,0.99
231,0.10,0.00,0.99
232,0.10,-0.01,0.99
233,0.10,-0.00,0.99
234,0.11,0.00,0.97
235,0.10,0.00,0.99
236,0.10,-0.00,0.99
237,0.10,0.00,0.98
238,0.11,-0.00,0.98
239,0.10,-0.00,0.98
240,0.10,0.00,0.99
241,0.10,0.01,0.99
242,0.11,-0.00,1.00
243,0.10,-0.00,0.99
244,0.10,0.00,0.99
245,0.10,-0.00,0.99
246,0.10,-0.00,0.99
247,0.10,0.00,0.98
248,0.10,-0.01,0.99
249,0.10,-0.00,0.98
250,0.10,0.00,0.99
251,0.11,-0.01,0.99
252,0.10,-0.00,0.98
253,0.10,0.00,0.98
254,0.10,-0.00,0.99
255,0.11,0.00,0.98
256,0.10,0.00,0.98
257,0.11,0.00,0.98
258,0.09,0.00,0.99
259,0.10,0.00,0.99
260,0.10,0.00,0.98
261,0.10,-0.00,0.98
262,0.10,0.00,0.98
263,0.10,0.00,0.98
264,0.10,0.00,0.97
265,0.10,-0.00,0.99
266,0.10,-0.01,0.98
267,0.10,-0.00,0.98
268,0.10,0.00,0.98
269,0.10,-0.00,0.98
270,0.10,-0.00,0.97
271,0.10,0.00,0.99
272,0.10,0.00,1.00
273,0.10,0.00,0.98
274,0.10,-0.00,0.99
275,0.10,0.00,0.94
276,0.10,-0.01,0.98
277,0.10,-0.00,0.98
278,0.11,-0.01,0.99
279,0.10,-0.00,0.98
280,0.10,0.00,1.00
281,0.10,-0.00,0.99
282,0.11,0.00,0.99
283,0.10,-0.00,0.99
284,0.10,0.00,0.99
285,0.10,-0.00,0.99
286,0.10,0.00,0.98
287,0.11,0.00,0.99
288,0.11,-0.01,0.99
289,0.11,-0.01,0.99
290,0.10,-0.00,0.99
291,0.11,-0.00,1.00
292,0.10,-0.00,0.98
293,0.11,0.00,0.99
294,0.10,-0.00,0.99
295,0.10,0.00,0.98
296,0.11,0.00,0.98
297,0.10,-0.00,0.98
298,0.10,-0.00,0.99
299,0.10,-0.00,0.99
300,0.11,-0.00,0.98
301,0.10,0.00,0.98
302,0.10,0.00,0.98
303,0.10,0.00,0.98
304,0.11,0.00,1.02
305,0.10,0.00,0.99
306,0.10,0.00,0.99
307,0.10,0.00,0.99
308,0.10,0.00,0.98
309,0.10,0.01,0.99
310,0.09,0.00,0.98
311,0.10,0.01,0.99
312,0.10,0.00,0.99
313,0.10,0.00,0.98
314,0.10,-0.01,0.98
315,0.10,0.00,0.99
316,0.11,-0.00,0.98
317,0.10,-0.00,0.99
318,0.11,-0.00,0.99
319,0.10,-0.00,0.98
320,0.10,-0.00,0.99
321,0.10,-0.00,0.98
322,0.10,-0.00,0.98
323,0.10,-0.01,0.99
324,0.10,-0.00,0.99
325,0.10,-0.00,0.99
326,0.10,-0.01,0.99
327,0.10,0.00,0.98
328,0.10,-0.00,0.99
329,0.10,0.00,0.99
330,0.10,-0.00,0.99
331,0.10,0.00,0.99
332,0.09,-0.00,0.99
