1449,26.67,1009.65,0.01,0.00
1450,26.66,1009.63,0.22,0.00
1451,26.66,1009.62,0.27,0.00
1452,26.66,1009.67,-0.11,-0.00
1453,26.67,1009.65,0.02,0.00
1454,26.67,1009.65,0.03,0.00
1455,26.66,1009.66,-0.06,-0.00
1456,26.66,1009.63,0.17,0.00
1457,26.66,1009.62,0.26,0.00
1458,26.66,1009.63,0.21,0.00
1459,26.66,1009.65,0.05,0.00
1460,26.67,1009.66,-0.03,-0.00
1461,26.67,1009.65,-0.02,-0.00
1462,26.67,1009.66,-0.10,-0.00
1463,26.67,1009.65,0.02,0.00
1464,26.67,1009.67,-0.10,-0.00
1465,26.67,1009.64,0.10,0.00
1466,26.67,1009.65,0.02,0.00
1467,26.67,1009.66,-0.07,-0.00
1468,26.67,1009.68,-0.21,-0.00
1469,26.67,1009.66,-0.03,-0.00
1470,26.67,1009.65,-0.01,-0.00
1471,26.67,1009.68,-0.25,-0.00
1472,26.67,1009.67,-0.14,-0.00
1473,26.67,1009.68,-0.25,-0.00
1474,26.67,1009.65,-0.01,-0.00
1475,26.67,1009.65,0.00,0.00
1476,26.68,1009.66,-0.08,-0.00
1477,26.67,1009.64,0.09,0.00
1478,26.67,1009.65,0.05,0.00
1479,26.67,1009.66,-0.02,-0.00
1480,26.68,1009.64,0.14,0.00
1481,26.68,1009.67,-0.14,-0.00
1482,26.68,1009.67,-0.17,-0.00
1483,26.68,1009.69,-0.31,-0.00
1484,26.68,1009.67,-0.12,-0.00
1485,26.68,1009.66,-0.09,-0.00
1486,26.68,1009.68,-0.24,-0.00
1487,26.68,1009.68,-0.19,-0.00
1488,26.67,1009.67,-0.12,-0.00
1489,26.68,1009.68,-0.19,-0.00
1490,26.68,1009.67,-0.16,-0.00
1491,26.68,1009.69,-0.29,-0.00
1492,26.68,1009.68,-0.25,-0.00
1493,26.68,1009.66,-0.03,-0.00
1494,26.68,1009.68,-0.25,-0.00
1495,26.68,1009.68,-0.22,-0.00
1496,26.68,1009.68,-0.22,-0.00
1497,26.68,1009.69,-0.27,-0.00
1498,26.68,1009.67,-0.13,-0.00
1499,26.68,1009.67,-0.14,-0.00
1500,26.68,1009.66,-0.05,-0.00
1501,26.68,1009.65,0.07,0.00
1502,26.68,1009.65,0.04,0.00
1503,26.68,1009.66,-0.06,-0.00
1504,26.69,1009.67,-0.14,-0.00
1505,26.68,1009.67,-0.14,-0.00
1506,26.68,1009.66,-0.03,-0.00
1507,26.68,1009.69,-0.27,-0.00
1508,26.68,1009.67,-0.17,-0.00
1509,26.68,1009.65,0.00,0.00
1510,26.68,1009.65,0.02,0.00
1511,26.68,1009.65,0.01,0.00
1512,26.68,1009.66,-0.02,-0.00
1513,26.68,1009.66,-0.10,-0.00
1514,26.68,1009.67,-0.18,-0.00
1515,26.68,1009.64,0.15,0.00
1516,26.68,1009.62,0.27,0.00
1517,26.68,1009.67,-0.12,-0.00
1518,26.68,1009.65,0.04,0.00
1519,26.68,1009.66,-0.09,-0.00
1520,26.68,1009.66,-0.10,-0.00
1521,26.68,1009.62,0.24,0.00
1522,26.68,1009.63,0.16,0.00
1523,26.68,1009.65,0.04,0.00
1524,26.68,1009.64,0.07,0.00
1525,26.68,1009.66,-0.10,-0.00
1526,26.68,1009.67,-0.14,-0.00
1527,26.68,1009.66,-0.06,-0.00
1528,26.68,1009.65,0.06,0.00
1529,26.68,1009.68,-0.21,-0.00
1530,26.68,1009.65,-0.02,-0.00
1531,26.68,1009.62,0.28,0.00
1532,26.68,1009.64,0.13,0.00
1533,26.68,1009.66,-0.10,-0.00
1534,26.69,1009.65,0.06,0.00
1535,26.68,1009.62,0.25,0.00
1536,26.69,1009.66,-0.02,-0.00
1537,26.69,1009.68,-0.21,-0.00
