172,9.84,-0.47,-0.35
173,10.85,0.93,-2.13
174,10.94,-2.14,2.90
175,10.22,-0.35,-0.71
176,62.53,154.45,104.20
177,12.41,-0.36,-0.43
178,8.57,3.45,-0.37
179,7.37,4.24,-1.12
180,9.27,2.84,-0.96
181,8.46,1.39,-3.84
182,10.34,1.35,-2.83
183,10.35,0.28,-1.50
184,10.92,-1.05,-2.15
185,12.34,-1.20,3.62
186,9.25,-1.57,-2.17
187,11.13,-1.42,3.54
188,10.66,-3.95,0.81
189,9.85,-4.49,-2.61
190,8.85,-4.89,-2.38
191,8.74,-5.38,0.84
192,9.97,-5.00,0.59
193,9.73,-5.54,0.39
194,7.80,-5.81,0.01
195,7.65,-6.98,0.41
196,7.81,-8.54,0.31
197,6.68,-10.52,-0.21
198,6.99,-7.86,-0.68
199,6.82,-4.00,-0.32
200,7.99,-4.61,-1.68
201,10.09,-7.46,-1.22
202,7.50,-5.54,-2.24
203,8.12,-4.49,-1.00
204,6.69,-3.82,-2.17
205,6.79,-4.79,-0.91
