time,gFx,gFy,gFz,TgF
125.818077452,0.0205,0.1276,1.0298,1.033
126.818273077,0.0689,0.0914,0.9585,0.960
127.818056931,0.0533,0.1120,1.0469,1.049
128.819659534,0.0489,0.0196,0.9966,0.993
129.81892068,0.0493,0.0064,1.1002,1.097
130.818532867,0.0303,-0.0347,0.9893,0.986
131.819041096,0.0064,-0.0581,1.0039,1.002
132.820426877,0.0797,-0.0577,0.9320,0.932
133.819888907,0.0533,-0.0625,1.0371,1.036
134.819970626,-0.0205,-0.0718,1.1046,1.104
135.819971459,-0.0298,-0.0836,1.0489,1.050
136.820673802,-0.0093,-0.1437,1.0489,1.056
137.822101354,0.0073,0.1032,0.9678,0.969
138.822134739,0.0797,0.1496,0.9359,0.945
139.821569426,0.0807,0.1706,1.0147,1.026
140.821658749,0.0870,0.1487,0.9443,0.953
141.82203229,0.0733,0.1628,0.9306,0.941
142.83624781,0.0645,0.1609,1.0259,1.035
143.822422966,-0.0039,0.1066,0.9995,1.001
144.849423903,0.0318,0.0787,0.9047,0.904
145.823638017,0.0606,0.0230,1.0269,1.024
146.824250725,0.0420,-0.0552,0.9795,0.978
147.823657913,-0.0083,-0.0840,1.0181,1.019
148.824359475,-0.0010,-0.0225,1.0279,1.025
149.824312443,-0.0865,0.0211,0.9946,0.997
150.824625984,-0.0758,0.0245,1.0156,1.016
151.824938067,0.0020,0.0348,0.9785,0.975
152.825565202,0.0337,0.1917,1.4566,1.465
153.826540723,-0.1526,-0.0039,1.1593,1.168
154.827740566,-0.0479,0.2171,1.0225,1.042
155.827680514,-0.0455,0.1022,1.0885,1.091
156.828759784,0.0093,0.1462,0.7350,0.744
157.828894107,0.0420,0.1809,0.9932,1.005
158.829032023,-0.0088,0.1188,1.0743,1.077
159.830166189,0.0919,0.1320,1.0548,1.061
160.83017072,-0.0519,0.1902,0.9814,0.997
161.830286136,-0.0117,0.2224,1.0098,1.029
162.830907855,0.0205,0.1731,0.9585,0.969
163.831835771,0.0137,0.1139,1.0000,1.002
164.832371344,0.0244,0.1022,0.9756,0.976
165.832062176,0.0078,0.1482,0.9834,0.990
166.836335562,0.0073,0.2058,0.9824,0.999
