Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
223,1.17,0.65,10.53
224,1.09,1.00,8.44
225,1.05,0.58,10.98
226,0.73,0.60,9.89
227,0.79,0.38,10.45
228,0.99,1.14,10.13
229,1.07,1.31,8.75
230,0.90,0.65,10.18
231,0.78,0.92,11.44
232,0.87,0.84,9.86
233,0.68,1.23,9.62
234,0.56,0.94,10.22
235,0.93,1.22,8.90
236,1.02,0.78,10.02
237,0.68,1.41,8.28
238,0.68,0.88,9.97
239,0.80,1.12,9.45
240,0.92,1.48,10.08
241,0.94,1.96,10.01
242,0.82,1.84,9.88
243,0.87,1.23,10.32
244,0.80,1.63,10.01
245,0.47,1.61,9.21
246,0.74,1.55,9.31
247,0.95,1.53,8.93
248,0.74,1.24,9.50
249,0.95,1.47,9.60
250,0.57,1.60,8.45
251,0.55,1.41,9.80
252,0.77,1.19,10.52
253,0.63,1.65,9.35
254,1.00,1.24,10.24
255,1.16,0.93,10.25
256,1.55,0.50,10.84
257,0.98,0.13,10.38
258,1.16,-0.95,10.34
259,0.86,-1.09,9.96
260,0.23,-1.12,9.30
261,1.31,-1.19,9.97
262,-0.58,-1.13,9.85
263,-0.92,0.73,9.73
264,-1.41,1.20,8.89
265,-1.00,1.14,9.86
266,2.01,1.77,8.49
267,-0.25,1.30,10.20
268,0.78,1.51,9.32
269,0.10,1.33,10.85
270,0.91,1.38,9.59
271,0.31,1.41,7.50
272,0.81,1.44,11.21
273,-0.66,2.94,9.74
274,-0.57,2.37,8.64
275,0.82,2.20,10.18
276,0.96,1.72,10.14
277,-0.68,0.69,6.58
278,0.90,1.89,9.51
279,0.96,1.89,9.26
280,1.25,2.02,9.60
281,2.10,1.74,10.00
282,1.40,1.61,9.23
283,1.53,2.22,9.92
284,1.66,1.59,9.70
285,2.01,1.64,10.30
286,1.82,1.70,10.02
287,1.03,0.88,8.96
288,1.21,1.19,9.79
289,2.07,1.06,9.55
290,0.23,1.05,8.30
291,0.50,0.21,10.53
292,-1.00,0.58,9.48
293,1.38,0.55,8.23
294,1.43,0.26,9.96
295,1.49,0.80,10.19
296,0.21,0.28,10.04
297,-0.05,0.12,9.46
298,1.20,0.19,9.44
299,1.32,1.00,9.67
300,1.10,1.30,9.55
301,1.02,1.51,9.59
302,0.96,1.49,9.73
303,1.10,1.46,9.72
304,0.83,1.93,9.72
305,-0.33,2.84,9.62
306,-0.93,1.46,9.99
307,-1.51,0.91,9.16
308,-1.24,1.90,10.19
309,-2.19,1.47,11.89
310,0.37,2.16,10.77
311,0.01,1.14,10.50
312,-1.91,1.66,8.45
313,0.84,1.53,9.38
314,0.22,1.96,8.56
315,0.55,1.72,10.24
316,0.23,1.56,10.35
317,0.21,1.57,9.49
318,-0.58,1.08,9.59
319,0.54,1.74,10.15
320,0.20,1.58,9.70
321,-0.07,1.91,10.74
322,0.62,2.12,8.39
323,0.28,2.18,9.36
324,0.22,1.41,10.36
325,0.25,0.74,9.03
326,-0.01,0.33,11.00
327,0.70,1.00,10.36
328,0.59,1.24,9.84
329,1.19,-0.20,8.86
330,1.57,-0.22,10.72
331,1.57,-1.10,9.88
332,1.45,0.74,9.04
333,3.62,1.55,9.75
334,1.46,0.97,9.97
335,1.49,1.63,9.06
336,2.32,1.19,10.81
337,-0.27,1.48,9.25
338,2.37,0.76,9.84
339,1.73,1.49,8.74
340,1.09,1.61,10.13
341,-0.49,3.61,11.26
342,1.27,2.68,10.56
343,0.86,2.53,9.31
344,0.74,2.47,9.76
345,0.27,2.08,9.98
346,0.49,1.63,10.46
347,-0.13,1.53,9.23
348,-0.16,1.76,9.70
349,0.44,1.57,10.07
350,0.38,1.41,9.73
351,0.28,1.52,9.90
352,0.45,1.77,9.20
353,0.23,1.77,9.76
354,0.19,1.77,9.20
355,0.57,1.26,11.00
356,0.24,1.46,9.37
357,0.55,1.48,9.51
358,0.28,1.50,9.02
