time,gFx,gFy,gFz,TgF
127.880308545,0.0244,0.0064,0.9976,0.994
128.880565784,0.0254,0.0083,1.0024,0.999
129.885031825,0.0244,0.0083,1.0029,0.999
130.882398752,0.0264,0.0078,1.0005,0.997
131.88286922,0.0239,0.0078,1.0010,0.997
132.884319272,0.0239,0.0088,1.0015,0.998
133.884739792,0.0259,0.0083,1.0010,0.997
134.886094219,0.0249,0.0073,1.0029,0.999
135.886604896,0.0254,0.0103,1.0015,0.998
136.887811093,0.0288,0.0073,1.0039,1.000
137.888715312,0.0259,0.0064,1.0029,0.999
138.889889582,0.0283,0.0093,1.0010,0.997
139.890624842,0.0249,0.0088,1.0068,1.003
140.891324842,0.0239,0.0068,0.9951,0.991
141.891727133,0.0230,0.0088,1.0010,0.997
142.891489529,0.0283,0.0064,0.9966,0.993
143.895973851,0.0220,0.0073,1.0020,0.998
144.897353486,0.0235,0.0083,1.0029,0.999
145.894814319,0.0235,0.0093,1.0024,0.999
146.90803286,0.0249,0.0078,0.9985,0.995
147.9112201,0.0269,0.0073,0.9995,0.996
148.908919578,0.0249,0.0078,1.0005,0.997
149.895882599,0.0235,0.0088,1.0000,0.996
150.896339578,0.0235,-0.0044,0.9927,0.989
151.896830983,0.0249,0.0083,1.0000,0.996
152.898531348,0.0244,0.0093,1.0015,0.998
153.898696191,0.0235,0.0093,1.0015,0.998
154.899508691,0.0239,0.0073,0.9995,0.996
155.899050409,0.0239,0.0088,1.0059,1.002
156.900577804,0.0264,0.0103,1.0020,0.998
157.900020148,0.0239,0.0083,1.0024,0.999
158.901729783,0.0210,0.0103,1.0020,0.998
159.901057387,0.0288,0.0093,1.0015,0.998
160.901476657,0.0254,0.0103,1.0044,1.001
161.901913636,0.0239,0.0078,1.0010,0.997
162.902636396,0.0249,0.0068,1.0020,0.998
163.905177073,0.0259,0.0088,1.0015,0.998
164.906648895,0.0235,0.0093,1.0010,0.997
165.907118686,0.0244,0.0068,0.9995,0.996
166.907464311,0.0254,0.0078,1.0020,0.998
167.908003009,0.0254,0.0078,1.0000,0.996
168.908295925,0.0230,0.0088,1.0015,0.998
169.910840925,0.0254,0.0068,1.0015,0.998
170.910910039,0.0244,0.0093,1.0010,0.997
171.92194082,0.0249,0.0083,1.0000,0.996
172.921859569,0.0239,0.0078,0.9995,0.996
173.915398683,0.0225,0.0078,1.0020,0.998
174.946324725,0.0249,0.0088,1.0000,0.996
175.911931443,0.0244,0.0093,1.0005,0.997
176.912035922,0.0220,0.0093,1.0010,0.997
177.911913317,0.0239,0.0093,0.9995,0.996
178.912947379,0.0254,0.0088,1.0005,0.997
179.912847327,0.0249,0.0098,1.0000,0.996
180.913665816,0.0254,0.0078,1.0015,0.998
181.914201805,0.0249,0.0093,1.0034,1.000
182.915573211,0.0249,0.0093,0.9995,0.996
183.91569368,0.0249,0.0083,1.0029,0.999
184.916894408,0.0239,0.0107,1.0000,0.996
185.91655946,0.0235,0.0088,1.0015,0.998
186.916816491,0.0239,0.0073,1.0000,0.996
187.917417845,0.0239,0.0083,1.0010,0.997
188.91826248,0.0235,0.0088,1.0010,0.997
189.918437375,0.0259,0.0078,1.0015,0.998
190.919775396,0.0259,0.0083,1.0005,0.997
191.920841854,0.0259,0.0093,1.0024,0.999
192.920078051,0.0239,0.0088,1.0029,0.999
193.922832374,0.0249,0.0078,1.0039,1.000
194.922707061,0.0264,0.0093,1.0005,0.997
195.921907008,0.0244,0.0093,1.0015,0.998
196.939089456,0.0249,0.0088,1.0005,0.997
197.934334143,0.0220,0.0078,1.0005,0.997
198.936667736,0.0259,0.0078,1.0000,0.996
199.936252059,0.0230,0.0078,1.0005,0.997
200.924014611,0.0235,0.0088,1.0005,0.997
201.925977787,0.0264,0.0068,1.0020,0.998
202.926230912,0.0244,0.0068,1.0000,0.996
203.926642318,0.0220,0.0088,1.0020,0.998
204.92684888,0.0230,0.0073,1.0015,0.998
205.927021432,0.0249,0.0098,1.0000,0.996
206.929347525,0.0239,0.0088,1.0005,0.997
207.929019191,0.0239,0.0083,1.0015,0.998
208.928616743,0.0259,0.0088,1.0015,0.998
209.929438774,0.0254,0.0078,1.0010,0.997
210.930206221,0.0244,0.0093,1.0010,0.997
211.930725961,0.0235,0.0078,0.9985,0.995
212.930733304,0.0244,0.0093,1.0015,0.998
213.932937731,0.0235,0.0068,1.0020,0.998
214.932773303,0.0249,0.0078,1.0005,0.997
215.93377549,0.0259,0.0078,1.0029,0.999
216.93436148,0.0235,0.0073,1.0015,0.998
217.93399825,0.0244,0.0083,1.0010,0.997
218.934415437,0.0279,0.0083,1.0015,0.998
219.93834101,0.0249,0.0078,1.0000,0.996
220.935245593,0.0249,0.0078,1.0020,0.998
221.937114811,0.0239,0.0078,1.0020,0.998
222.945048144,0.0239,0.0083,1.0005,0.997
223.944839758,0.0249,0.0088,0.9990,0.995
224.943076789,0.0244,0.0093,1.0010,0.997
225.960558924,0.0235,0.0088,1.0015,0.998
226.940827882,0.0259,0.0083,0.9995,0.996
227.940861319,0.0259,0.0088,1.0024,0.999
228.940745694,0.0239,0.0073,1.0005,0.997
229.941282412,0.0259,0.0068,0.9995,0.996
230.941844339,0.0249,0.0088,1.0000,0.996
231.942920015,0.0264,0.0068,1.0024,0.999
232.943666005,0.0244,0.0078,1.0015,0.998
233.944472671,0.0239,0.0093,1.0010,0.997
234.944908868,0.0259,0.0083,0.9990,0.995
235.946140066,0.0254,0.0073,1.0000,0.996
236.947008711,0.0264,0.0078,1.0005,0.997
237.947964284,0.0244,0.0064,1.0005,0.997
238.948663607,0.0235,0.0073,1.0020,0.998
239.94907845,0.0239,0.0073,1.0000,0.996
240.949409595,0.0249,0.0068,1.0010,0.997
241.94990022,0.0244,0.0093,0.9995,0.996
242.951353449,0.0259,0.0078,1.0005,0.997
243.951983448,0.0254,0.0073,1.0015,0.998
244.951947406,0.0249,0.0093,1.0024,0.999
245.953189125,0.0249,0.0088,1.0015,0.998
246.952569853,0.0249,0.0088,0.9995,0.996
247.961533863,0.0239,0.0093,1.0029,0.999
248.963809696,0.0244,0.0068,1.0020,0.998
249.9603848,0.0244,0.0078,1.0000,0.996
250.980524175,0.0235,0.0083,0.9995,0.996
